Region,Percentage of school leavers retained to at least 17-years-old 
Northland,74
Auckland,89
Waikato,77.4
Bay of Plenty,76.1
Hawke's Bay,80.3
Wellington,88.8
Tasman,79.1
Canterbury,84.4
Southland,78.8
