Year ended March,Measure,Region,Region Code,Value,Value Unit,Value Label,Null Reason,Metadata 1
2003,Regional GDP per person,"Nelson, Tasman","Tasman, Nelson",28416,nzd,NZD per person,
2003,Regional GDP per person,North Island,Total North Island,34958,nzd,NZD per person,
2003,Regional GDP per person,South Island,Total South Island,30476,nzd,NZD per person,
2003,Regional GDP per person,New Zealand,Total New Zealand,33883,nzd,NZD per person,
2004,Regional GDP per person,Northland,Northland Region,23990,nzd,NZD per person,
2004,Regional GDP per person,Auckland,Auckland Region,40507,nzd,NZD per person,
2004,Regional GDP per person,Waikato,Waikato Region,31089,nzd,NZD per person,
2004,Regional GDP per person,Bay of Plenty,Bay of Plenty Region,28506,nzd,NZD per person,
2004,Regional GDP per person,Gisborne,Gisborne Region,23923,nzd,NZD per person,
2004,Regional GDP per person,Hawke's Bay,Hawke's Bay Region,31346,nzd,NZD per person,
2004,Regional GDP per person,Taranaki,Taranaki Region,43591,nzd,NZD per person,
2004,Regional GDP per person,Manawatū-Whanganui,Manawatu-Wanganui Region,27168,nzd,NZD per person,
2004,Regional GDP per person,Wellington,Wellington Region,44967,nzd,NZD per person,
2004,Regional GDP per person,West Coast,West Coast Region,27966,nzd,NZD per person,
2004,Regional GDP per person,Canterbury,Canterbury Region,32739,nzd,NZD per person,
2004,Regional GDP per person,Otago,Otago Region,31679,nzd,NZD per person,
2004,Regional GDP per person,Southland,Southland Region,34212,nzd,NZD per person,
2004,Regional GDP per person,Marlborough,Marlborough Region,32558,nzd,NZD per person,
2004,Regional GDP per person,"Nelson, Tasman","Tasman, Nelson",30212,nzd,NZD per person,
2004,Regional GDP per person,North Island,Total North Island,36629,nzd,NZD per person,
2004,Regional GDP per person,South Island,Total South Island,32277,nzd,NZD per person,
2004,Regional GDP per person,New Zealand,Total New Zealand,35586,nzd,NZD per person,
2005,Regional GDP per person,Northland,Northland Region,26230,nzd,NZD per person,
2005,Regional GDP per person,Auckland,Auckland Region,42860,nzd,NZD per person,
2005,Regional GDP per person,Waikato,Waikato Region,32499,nzd,NZD per person,
2005,Regional GDP per person,Bay of Plenty,Bay of Plenty Region,30145,nzd,NZD per person,
2005,Regional GDP per person,Gisborne,Gisborne Region,25193,nzd,NZD per person,
2005,Regional GDP per person,Hawke's Bay,Hawke's Bay Region,33496,nzd,NZD per person,
2005,Regional GDP per person,Taranaki,Taranaki Region,43874,nzd,NZD per person,
2005,Regional GDP per person,Manawatū-Whanganui,Manawatu-Wanganui Region,28885,nzd,NZD per person,
2005,Regional GDP per person,Wellington,Wellington Region,46751,nzd,NZD per person,
2005,Regional GDP per person,West Coast,West Coast Region,29308,nzd,NZD per person,
2005,Regional GDP per person,Canterbury,Canterbury Region,35268,nzd,NZD per person,
2005,Regional GDP per person,Otago,Otago Region,33901,nzd,NZD per person,
2005,Regional GDP per person,Southland,Southland Region,34100,nzd,NZD per person,
2005,Regional GDP per person,Marlborough,Marlborough Region,34005,nzd,NZD per person,
2005,Regional GDP per person,"Nelson, Tasman","Tasman, Nelson",32071,nzd,NZD per person,
2005,Regional GDP per person,North Island,Total North Island,38593,nzd,NZD per person,
2005,Regional GDP per person,South Island,Total South Island,34345,nzd,NZD per person,
2005,Regional GDP per person,New Zealand,Total New Zealand,37577,nzd,NZD per person,
2006,Regional GDP per person,Northland,Northland Region,28162,nzd,NZD per person,
2006,Regional GDP per person,Auckland,Auckland Region,44201,nzd,NZD per person,
2006,Regional GDP per person,Waikato,Waikato Region,34497,nzd,NZD per person,
2006,Regional GDP per person,Bay of Plenty,Bay of Plenty Region,31303,nzd,NZD per person,
2006,Regional GDP per person,Gisborne,Gisborne Region,25528,nzd,NZD per person,
2006,Regional GDP per person,Hawke's Bay,Hawke's Bay Region,34212,nzd,NZD per person,
2006,Regional GDP per person,Taranaki,Taranaki Region,45441,nzd,NZD per person,
2006,Regional GDP per person,Manawatū-Whanganui,Manawatu-Wanganui Region,30992,nzd,NZD per person,
2006,Regional GDP per person,Wellington,Wellington Region,49226,nzd,NZD per person,
2006,Regional GDP per person,West Coast,West Coast Region,33856,nzd,NZD per person,
2006,Regional GDP per person,Canterbury,Canterbury Region,36686,nzd,NZD per person,
2006,Regional GDP per person,Otago,Otago Region,35030,nzd,NZD per person,
2006,Regional GDP per person,Southland,Southland Region,36466,nzd,NZD per person,
2006,Regional GDP per person,Marlborough,Marlborough Region,35587,nzd,NZD per person,
2006,Regional GDP per person,"Nelson, Tasman","Tasman, Nelson",31813,nzd,NZD per person,
2006,Regional GDP per person,North Island,Total North Island,40231,nzd,NZD per person,
2006,Regional GDP per person,South Island,Total South Island,35755,nzd,NZD per person,
2006,Regional GDP per person,New Zealand,Total New Zealand,39162,nzd,NZD per person,
2007,Regional GDP per person,Northland,Northland Region,30661,nzd,NZD per person,,Revised
2007,Regional GDP per person,Auckland,Auckland Region,45030,nzd,NZD per person,,Revised
2007,Regional GDP per person,Waikato,Waikato Region,37913,nzd,NZD per person,,Revised
2007,Regional GDP per person,Bay of Plenty,Bay of Plenty Region,33897,nzd,NZD per person,,Revised
2007,Regional GDP per person,Gisborne,Gisborne Region,27960,nzd,NZD per person,,Revised
2007,Regional GDP per person,Hawke's Bay,Hawke's Bay Region,35206,nzd,NZD per person,,Revised
2007,Regional GDP per person,Taranaki,Taranaki Region,53474,nzd,NZD per person,,Revised
2007,Regional GDP per person,Manawatū-Whanganui,Manawatu-Wanganui Region,31631,nzd,NZD per person,,Revised
2007,Regional GDP per person,Wellington,Wellington Region,50121,nzd,NZD per person,,Revised
2007,Regional GDP per person,West Coast,West Coast Region,36337,nzd,NZD per person,,Revised
2007,Regional GDP per person,Canterbury,Canterbury Region,38460,nzd,NZD per person,,Revised
2007,Regional GDP per person,Otago,Otago Region,36401,nzd,NZD per person,,Revised
2007,Regional GDP per person,Southland,Southland Region,39023,nzd,NZD per person,,Revised
2007,Regional GDP per person,Marlborough,Marlborough Region,39066,nzd,NZD per person,,Revised
2007,Regional GDP per person,"Nelson, Tasman","Tasman, Nelson",34336,nzd,NZD per person,,Revised
2007,Regional GDP per person,North Island,Total North Island,41889,nzd,NZD per person,,Revised
2007,Regional GDP per person,South Island,Total South Island,37688,nzd,NZD per person,,Revised
2007,Regional GDP per person,New Zealand,Total New Zealand,40885,nzd,NZD per person,
2008,Regional GDP per person,Northland,Northland Region,32156,nzd,NZD per person,,Revised
2008,Regional GDP per person,Auckland,Auckland Region,47786,nzd,NZD per person,,Revised
2008,Regional GDP per person,Waikato,Waikato Region,39781,nzd,NZD per person,,Revised
2008,Regional GDP per person,Bay of Plenty,Bay of Plenty Region,36438,nzd,NZD per person,,Revised
2008,Regional GDP per person,Gisborne,Gisborne Region,28916,nzd,NZD per person,,Revised
2008,Regional GDP per person,Hawke's Bay,Hawke's Bay Region,34378,nzd,NZD per person,,Revised
2008,Regional GDP per person,Taranaki,Taranaki Region,76796,nzd,NZD per person,,Revised
2008,Regional GDP per person,Manawatū-Whanganui,Manawatu-Wanganui Region,34303,nzd,NZD per person,,Revised
2008,Regional GDP per person,Wellington,Wellington Region,53488,nzd,NZD per person,,Revised
2008,Regional GDP per person,West Coast,West Coast Region,42163,nzd,NZD per person,,Revised
2008,Regional GDP per person,Canterbury,Canterbury Region,40941,nzd,NZD per person,,Revised
2008,Regional GDP per person,Otago,Otago Region,38865,nzd,NZD per person,,Revised
2008,Regional GDP per person,Southland,Southland Region,44725,nzd,NZD per person,,Revised
2008,Regional GDP per person,Marlborough,Marlborough Region,43782,nzd,NZD per person,,Revised
2008,Regional GDP per person,"Nelson, Tasman","Tasman, Nelson",36193,nzd,NZD per person,,Revised
2008,Regional GDP per person,North Island,Total North Island,45038,nzd,NZD per person,
2008,Regional GDP per person,South Island,Total South Island,40611,nzd,NZD per person,,Revised
2008,Regional GDP per person,New Zealand,Total New Zealand,43982,nzd,NZD per person,
2009,Regional GDP per person,Northland,Northland Region,32473,nzd,NZD per person,,Revised
2009,Regional GDP per person,Auckland,Auckland Region,46711,nzd,NZD per person,,Revised
2009,Regional GDP per person,Waikato,Waikato Region,41449,nzd,NZD per person,,Revised
2009,Regional GDP per person,Bay of Plenty,Bay of Plenty Region,35743,nzd,NZD per person,,Revised
2009,Regional GDP per person,Gisborne,Gisborne Region,30545,nzd,NZD per person,,Revised
2009,Regional GDP per person,Hawke's Bay,Hawke's Bay Region,35618,nzd,NZD per person,,Revised
2009,Regional GDP per person,Taranaki,Taranaki Region,78910,nzd,NZD per person,,Revised
2009,Regional GDP per person,Manawatū-Whanganui,Manawatu-Wanganui Region,33877,nzd,NZD per person,,Revised
2009,Regional GDP per person,Wellington,Wellington Region,54505,nzd,NZD per person,,Revised
2009,Regional GDP per person,West Coast,West Coast Region,46276,nzd,NZD per person,,Revised
2009,Regional GDP per person,Canterbury,Canterbury Region,41750,nzd,NZD per person,,Revised
2009,Regional GDP per person,Otago,Otago Region,40061,nzd,NZD per person,,Revised
2009,Regional GDP per person,Southland,Southland Region,47504,nzd,NZD per person,,Revised
2009,Regional GDP per person,Marlborough,Marlborough Region,45031,nzd,NZD per person,,Revised
2009,Regional GDP per person,"Nelson, Tasman","Tasman, Nelson",36922,nzd,NZD per person,,Revised
